# CORE-IF-001 semantic delta ledger
# forge_commit=78fad4069d778996c24ecf5acc5cbe0e1edea7a
# donor_commit=cc2d69425beea2c93a4000e44d49381deba8eed2
# total_rows=1923
# disposition_counts={"Forge only preservation":1422,"adapted later":370,"rejected non scope item":131}
delta_id	donor_commit	donor_path	semantic_change	forge_path	applicability	disposition	requirement_id	phase_id	task_id	regression_id	evidence
DELTA-1028	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	src/main/java/com/enviouse/futureshops/server/market/auction/escrow/AuctionEscrowLifecyclePlanner.java	non_product	rejected non scope item	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1028	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/auction/escrow/AuctionEscrowLifecyclePlanner.java
DELTA-1029	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/auction/escrow/AuctionEscrowLifecycleRepository.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1029	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/auction/escrow/AuctionEscrowLifecycleRepository.java
DELTA-1030	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/auction/escrow/AuctionEscrowLifecycleState.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1030	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/auction/escrow/AuctionEscrowLifecycleState.java
DELTA-1031	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/auction/escrow/AuctionEscrowLifecycleStateCodec.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1031	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/auction/escrow/AuctionEscrowLifecycleStateCodec.java
DELTA-1032	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/auction/escrow/AuctionEscrowWalletSnapshot.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1032	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/auction/escrow/AuctionEscrowWalletSnapshot.java
DELTA-1033	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarEscrowSettlement.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1033	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarEscrowSettlement.java
DELTA-1034	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarExecutionPricePolicy.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1034	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarExecutionPricePolicy.java
DELTA-1035	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarFeeMath.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1035	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarFeeMath.java
DELTA-1036	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarFill.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1036	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarFill.java
DELTA-1037	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarIdentityRegistry.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1037	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarIdentityRegistry.java
DELTA-1038	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarIds.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1038	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarIds.java
DELTA-1039	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarItemRestrictions.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1039	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarItemRestrictions.java
DELTA-1040	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarLifecycleCommand.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1040	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarLifecycleCommand.java
DELTA-1041	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarLifecycleType.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1041	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarLifecycleType.java
DELTA-1042	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarMarketAnalytics.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1042	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarMarketAnalytics.java
DELTA-1043	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarMutation.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1043	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarMutation.java
DELTA-1044	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarMutationCodec.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1044	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarMutationCodec.java
DELTA-1045	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOperationResult.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1045	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOperationResult.java
DELTA-1046	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOperationStatus.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1046	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOperationStatus.java
DELTA-1047	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOperationType.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1047	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOperationType.java
DELTA-1048	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrder.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1048	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrder.java
DELTA-1049	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderBook.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1049	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderBook.java
DELTA-1050	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderBookSnapshot.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1050	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderBookSnapshot.java
DELTA-1051	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderBookSnapshotCodec.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1051	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderBookSnapshotCodec.java
DELTA-1052	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderSide.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1052	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderSide.java
DELTA-1053	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderState.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1053	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderState.java
DELTA-1054	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderType.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1054	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarOrderType.java
DELTA-1055	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProduct.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1055	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProduct.java
DELTA-1056	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductBrowseIndex.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1056	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductBrowseIndex.java
DELTA-1057	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductCatalogCoordinator.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1057	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductCatalogCoordinator.java
DELTA-1058	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductCatalogRegistry.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1058	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductCatalogRegistry.java
DELTA-1059	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductCatalogRuntime.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1059	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductCatalogRuntime.java
DELTA-1060	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductCatalogSnapshot.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1060	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductCatalogSnapshot.java
DELTA-1061	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductCatalogStorage.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1061	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductCatalogStorage.java
DELTA-1062	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductDefinition.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1062	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductDefinition.java
DELTA-1063	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductDefinitionLoader.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1063	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductDefinitionLoader.java
DELTA-1064	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductIdentityPolicy.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1064	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductIdentityPolicy.java
DELTA-1065	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductReconciliationAction.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1065	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductReconciliationAction.java
DELTA-1066	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductReconciliationPlan.java	non_product	rejected non scope item	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1066	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductReconciliationPlan.java
DELTA-1067	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductStackMatchResult.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1067	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductStackMatchResult.java
DELTA-1068	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductStackMatcher.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1068	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductStackMatcher.java
DELTA-1069	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductStatus.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1069	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductStatus.java
DELTA-1070	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductVersionKey.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1070	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarProductVersionKey.java
DELTA-1071	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRequestFingerprints.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1071	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRequestFingerprints.java
DELTA-1072	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRequestReceipt.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1072	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRequestReceipt.java
DELTA-1073	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRetentionPolicy.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1073	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRetentionPolicy.java
DELTA-1074	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRuleSnapshot.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1074	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRuleSnapshot.java
DELTA-1075	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRuleSnapshotFactory.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1075	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRuleSnapshotFactory.java
DELTA-1076	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRuntimeInitializationGate.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1076	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarRuntimeInitializationGate.java
DELTA-1077	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarSavedData.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1077	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarSavedData.java
DELTA-1078	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarSelfTradePolicy.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1078	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarSelfTradePolicy.java
DELTA-1079	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarSettlementKind.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1079	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarSettlementKind.java
DELTA-1080	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarSnapshotValidator.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1080	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarSnapshotValidator.java
DELTA-1081	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarTimeInForce.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1081	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/BazaarTimeInForce.java
DELTA-1082	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/CancelBazaarOrderCommand.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1082	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/CancelBazaarOrderCommand.java
DELTA-1083	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/CreateBazaarOrderCommand.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1083	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/CreateBazaarOrderCommand.java
DELTA-1084	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/server/market/bazaar/ExpireBazaarOrderCommand.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1084	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/server/market/bazaar/ExpireBazaarOrderCommand.java
